id,category_id,vendor_id,name,short_description,long_description,term_and_condition,payment_type_id,voucher_type_id,member_type_id,redeem_type_id,price,discount_rate,thumbnail,images,valid_from,valid_until,country,region,lat,lng,quantity_available,quantity_left,limit_per_user,loyalty_point_required,is_active,created_at,updated_at
71,4,12,"Get Make Over Ultra Cover Liquid Foundation","Get perfect and long lasting makeup with the Ultra Cover Liquid Foundation from Make Over.
You can get it on VexGift.
Redeem your Vexpoint and get the Ultra Cover Liquid Foundation from Make Over now!

Dapatkan hasil make up yang sempurna dan tahan lama dengan Ultra Cover Liquid Foundation dari Make Over.
Kamu bisa mendapatkannya di VexGift.
Tukarkan Vexpoint mu dan dapatkan Make Over ultra cover liquid foundation sekarang!","Get perfect and long lasting makeup with the Ultra Cover Liquid Foundation from Make Over.
You can get it on VexGift.
Redeem your Vexpoint and get the Ultra Cover Liquid Foundation from Make Over now!

Dapatkan hasil make up yang sempurna dan tahan lama dengan Ultra Cover Liquid Foundation dari Make Over.
Kamu bisa mendapatkannya di VexGift.
Tukarkan Vexpoint mu dan dapatkan Make Over ultra cover liquid foundation sekarang!","1. Items cannot be converted to Rupiah or other.
2. For shipping costs will be borne by Vexgift.
3. Vexgift is not responsible for damage that occurs during the shipping process.
4. The prize delivery process will be arranged by Vexgift.
5. We are not responsible for the wrong address given.
6. For the type, color and all product authority specified by the VexGift.
7. VexGift can change terms and conditions without further notice.
8. Voucher valid until 17 November 2018.

1. Item tidak dapat dikonversi ke Rupiah atau lainnya.
2. Untuk biaya pengiriman akan ditanggung oleh Vexgift.
3. Vexgift tidak bertanggung jawab atas kerusakan yang terjadi selama proses pengiriman.
4. Proses pengiriman hadiah akan diatur oleh Vexgift.
5. Kami tidak bertanggung jawab atas kesalahan alamat yang diberikan.
6. Untuk type, warna dan segala kewenangan produk di tentukan oleh pihak VexGift.
7. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
8. Voucher berlaku sampai 17 November 2018.",2,6,2,2,2860,NULL,http://cdn.vexgift.com/vouchers/banner/makeover_ultra_cover_liquid_foundation.webp,NULL,1539763200,1542473999,All,NULL,NULL,NULL,0,2,1,0,1,"2018-10-17 00:00:00","2018-10-17 15:08:08"
72,9,12,"Get EH ND11 Panasonic Hairdryer","Get a stylish look with a perfect hair everyday! 
By redeem your Vexpoints you can get EH ND11 Panasonic Hairdryer.
Redeem your Vexpoints now!

Dapatkan tampilan penuh gaya dengan rambut yang sempurna setiap harinya.
Dengan menukarkan Vexpoint anda bisa mendapatkan Hairdryer Panasonic EH ND11. 
Tukarkan Vexpoint anda sekarang!","Get a stylish look with a perfect hair everyday! 
By redeem your Vexpoints you can get EH ND11 Panasonic Hairdryer.
Redeem your Vexpoints now!

Dapatkan tampilan penuh gaya dengan rambut yang sempurna setiap harinya.
Dengan menukarkan Vexpoint anda bisa mendapatkan Hairdryer Panasonic EH ND11. 
Tukarkan Vexpoint anda sekarang!","1. Items cannot be converted to Rupiah or other.
2. For shipping costs will be borne by Vexgift.
3. Vexgift is not responsible for damage that occurs during the shipping process.
4. The prize delivery process will be arranged by Vexgift.
5. We are not responsible for the wrong address given.
6. Voucher can be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
7. VexGift can change the term and condition without further notice.
8. Vouchers valid until 17 November 2018.

1. Item tidak dapat dikonversi ke Rupiah atau lainnya.
2. Untuk biaya pengiriman akan ditanggung oleh Vexgift.
3. Vexgift tidak bertanggung jawab atas kerusakan yang terjadi selama proses pengiriman.
4. Proses pengiriman hadiah akan diatur oleh Vexgift.
5. Kami tidak bertanggung jawab atas kesalahan alamat yang diberikan.
6. Voucher dapat digunakan maksimal 24 jam setelah Anda mendapatkan kode voucher dengan mengklik ‘Redeem Voucher’
7. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
8. Voucher berlaku sampai 17 November 2018.",2,6,1,2,3800,NULL,http://cdn.vexgift.com/vouchers/banner/panasonic_hairdryer_EHND11.webp,NULL,1539770400,1542473999,All,NULL,NULL,NULL,0,1,1,0,1,"2018-10-17 00:00:00","2018-10-17 17:00:51"
73,4,12,"Get Make Over Lip Color Palette","Beautiful colors from Make Over Lip Color Palette make you look elegant with sexy lips everyday.
You can get Make Over Lip Color Palette on VexGift.
Redeem your VexPoints now!

Beautiful colors from Make Over Lip Color Palette membuatmu tampil cantik dengan bibir sexy setiap harinya.
kamu bisa mendapatkan Make Over Lip Color Pallete di VexGift. 
Tukarkan Vexpoint mu sekarang!","Beautiful colors from Make Over Lip Color Palette make you look elegant with sexy lips everyday.
You can get Make Over Lip Color Palette on VexGift.
Redeem your VexPoints now!

Beautiful colors from Make Over Lip Color Palette membuatmu tampil cantik dengan bibir sexy setiap harinya.
kamu bisa mendapatkan Make Over Lip Color Pallete di VexGift. 
Tukarkan Vexpoint mu sekarang!","1. Items cannot be converted to Rupiah or other.
2. For shipping costs will be borne by Vexgift.
3. Vexgift is not responsible for damage that occurs during the shipping process.
4. The prize delivery process will be arranged by Vexgift.
5. We are not responsible for the wrong address given.
6. Voucher can be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
7. VexGift can change the term and condition without further notice.
8. Vouchers valid until 18 November 2018.

1. Item tidak dapat dikonversi ke Rupiah atau lainnya.
2. Untuk biaya pengiriman akan ditanggung oleh Vexgift.
3. Vexgift tidak bertanggung jawab atas kerusakan yang terjadi selama proses pengiriman.
4. Proses pengiriman hadiah akan diatur oleh Vexgift.
5. Kami tidak bertanggung jawab atas kesalahan alamat yang diberikan.
6. Voucher dapat digunakan maksimal 24 jam setelah Anda mendapatkan kode voucher dengan mengklik ‘Redeem Voucher’
7. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
8. Voucher berlaku sampai 18 November 2018.",2,6,2,2,2860,NULL,http://cdn.vexgift.com/vouchers/banner/makeover_lip_color_palette.webp,NULL,1539856800,1542560399,All,NULL,NULL,NULL,0,2,1,0,1,"2018-10-18 00:00:00","2018-10-18 17:00:41"
74,10,19,"[FLASH DEAL] Get Indomaret Voucher worth 10.000 IDR","Shop for all your needs at Indomaret and get a Voucher (I-Kupon) worth 10.000 IDR
by Redeem your Vexpoint in VexGift. 
Get your voucher now!

Belanja semua kebutuhan Anda di Indomaret dan dapatkan voucher( I-kupon) senilai Rp 10.000 
dengan menukarkan Vexpoint Anda di VexGift. 
dapatkan voucher Anda sekarang!","Shop for all your needs at Indomaret and get a Voucher (I-Kupon) worth 10.000 IDR
by Redeem your Vexpoint in VexGift. 
Get your voucher now!

Belanja semua kebutuhan Anda di Indomaret dan dapatkan voucher( I-kupon) senilai Rp 10.000 
dengan menukarkan Vexpoint Anda di VexGift. 
dapatkan voucher Anda sekarang!","1. Vouchers can be used without a minimum purchase.
2. Vouchers cannot be combined with other vouchers.
3. Vouchers cannot be converted to Rupiah or other.
4. Vouchers cannot be used for other promos.
5. Vouchers can only be used once.
6. Vouchers are valid for all Indomaret stores including Indomaret points.
7. Vouchers apply to all products including top-up the balance.
8. VexGift can change terms and conditions without further notice.
9. The voucher is only valid until 02 November 2018.

1. Voucher dapat digunakan tanpa pembelian minimum.
2. Voucher tidak dapat digabungkan dengan voucher lainnya.
3. Voucher tidak dapat dikonversi ke Rupiah atau lainnya.
4. Voucher tidak dapat digunakan untuk promo lainnya.
5. Voucher hanya dapat digunakan satu kali.
6. Voucher berlaku untuk semua store Indomaret termasuk Indomaret point.
7. Voucher berlaku untuk semua produk termasuk isi ulang pulsa.
8. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
9. Voucher hanya berlaku sampai tanggal 02 November 2018.",2,3,1,2,265,NULL,http://cdn.vexgift.com/vouchers/banner/indomaretIDR10FLASH.webp,NULL,1539856800,1542560399,All,NULL,NULL,NULL,0,15,1,0,0,"2018-10-18 00:00:00","2018-10-18 17:06:56"
75,10,19,"[FLASH DEAL] Get Indomaret Voucher worth 10.000 IDR","Shop for all your needs at Indomaret and get a Voucher (I-Kupon) worth 10.000 IDR
by Redeem your Vexpoint in VexGift. 
Get your voucher now!

Belanja semua kebutuhan Anda di Indomaret dan dapatkan voucher( I-kupon) senilai Rp 10.000 
dengan menukarkan Vexpoint Anda di VexGift. 
dapatkan voucher Anda sekarang!","Shop for all your needs at Indomaret and get a Voucher (I-Kupon) worth 10.000 IDR
by Redeem your Vexpoint in VexGift. 
Get your voucher now!

Belanja semua kebutuhan Anda di Indomaret dan dapatkan voucher( I-kupon) senilai Rp 10.000 
dengan menukarkan Vexpoint Anda di VexGift. 
dapatkan voucher Anda sekarang!","1. Vouchers can be used without a minimum purchase.
2. Vouchers cannot be combined with other vouchers.
3. Vouchers cannot be converted to Rupiah or other.
4. Vouchers cannot be used for other promos.
5. Vouchers can only be used once.
6. Vouchers are valid for all Indomaret stores including Indomaret points.
7. Vouchers apply to all products including top-up the balance.
8. VexGift can change terms and conditions without further notice.
9. The voucher is only valid until 02 November 2018.

1. Voucher dapat digunakan tanpa pembelian minimum.
2. Voucher tidak dapat digabungkan dengan voucher lainnya.
3. Voucher tidak dapat dikonversi ke Rupiah atau lainnya.
4. Voucher tidak dapat digunakan untuk promo lainnya.
5. Voucher hanya dapat digunakan satu kali.
6. Voucher berlaku untuk semua store Indomaret termasuk Indomaret point.
7. Voucher berlaku untuk semua produk termasuk isi ulang pulsa.
8. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
9. Voucher hanya berlaku sampai tanggal 02 November 2018.",2,3,2,2,185,NULL,http://cdn.vexgift.com/vouchers/banner/indomaretIDR10FLASH.webp,NULL,1539856800,1542560399,All,NULL,NULL,NULL,2,30,1,0,0,"2018-10-18 00:00:00","2018-11-10 18:18:47"
76,4,12,"Get NHK GP1000 FULL FACE HELMET","Protect your head when you drive and get NHK GP1000 FULL FACE HELMET on VexGift.
Redeem your VexPoints and get your Helmet now!

Lindungi kepala anda saat anda berkendara dan dapatkan HELM FULL FACE NHK GP1000 di VexGift.
Tukarkan Vexpoint anda dan dapatkan Helm anda sekarang!","Protect your head when you drive and get NHK GP1000 FULL FACE HELMET on VexGift.
Redeem your VexPoints and get your Helmet now!

Lindungi kepala anda saat anda berkendara dan dapatkan HELM FULL FACE NHK GP1000 di VexGift.
Tukarkan Vexpoint anda dan dapatkan Helm anda sekarang!","1. Items cannot be converted to Rupiah or other.
2. For shipping costs will be borne by Vexgift.
3. Vexgift is not responsible for damage that occurs during the shipping process.
4. The prize delivery process will be arranged by Vexgift.
5. We are not responsible for the wrong address given.
6. Voucher can be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
7. VexGift can change the term and condition without further notice.
8. Vouchers valid until 19 November 2018.

1. Item tidak dapat dikonversi ke Rupiah atau lainnya.
2. Untuk biaya pengiriman akan ditanggung oleh Vexgift.
3. Vexgift tidak bertanggung jawab atas kerusakan yang terjadi selama proses pengiriman.
4. Proses pengiriman hadiah akan diatur oleh Vexgift.
5. Kami tidak bertanggung jawab atas kesalahan alamat yang diberikan.
6. Voucher dapat digunakan maksimal 24 jam setelah Anda mendapatkan kode voucher dengan mengklik ‘Redeem Voucher’
7. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
8. Voucher berlaku sampai 19 November 2018.",2,6,2,2,11000,NULL,http://cdn.vexgift.com/vouchers/banner/nhk_fullface_gp1000.webp,NULL,1539943200,1542646799,All,NULL,NULL,NULL,0,1,1,0,1,"2018-10-19 00:00:00","2018-10-19 17:11:26"
77,9,12,"Win Xiaomi YI Dome Camera for 1 Person","Make your Home and Business Safe using this brand new CCTV! 
Redeem your Vexpoints and you can get the chance to win XIAOMI YI DOME CAMERA now!

Jadikan Rumah dan Bisnis Anda aman menggunakan CCTV merk baru ini! 
Tukarkan Vexpoint Anda dan Anda bisa mendapatkan kesempatan untuk memenangkan XIAOMI YI DOME CAMERA sekarang!","Make your Home and Business Safe using this brand new CCTV! 
Redeem your Vexpoints and you can get the chance to win XIAOMI YI DOME CAMERA now!

Jadikan Rumah dan Bisnis Anda aman menggunakan CCTV merk baru ini! 
Tukarkan Vexpoint Anda dan Anda bisa mendapatkan kesempatan untuk memenangkan XIAOMI YI DOME CAMERA sekarang!","1. The Lucky Draw will be held on 23 November 2018.
2. Winner will be announced on VexGift social media.
3. If there are any loss or damage during the shipment process, that is outside of Vexgift authority.
4. Winner cannot converted the prize to Rupiah or any other things.
5. VexGift can change the term and condition without further notice.
6. The Lucky Draw will be canceled if it doesn't reached 20 participants and all of the Vex Point will be returned.

1. Undian Berhadiah akan di laksanakan pada 23 November 2018.
2. Pemenang akan diumumkan di blog VexGift dan media sosial.
3. Jika ada kerugian atau kerusakan selama proses pengiriman, itu di luar otoritas Vexgift.
4. Pemenang tidak dapat mengubah hadiah menjadi Rupiah atau hal lainnya.
5. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
6. Undian Berhadiah akan dibatalkan jika voucher minimum tidak mencapai 20 dan seluruh vexpoint akan dikembalikan.",2,3,1,2,480,NULL,http://cdn.vexgift.com/vouchers/banner/xiaomi_yi_dome.webp,NULL,1539950400,1542905999,All,NULL,NULL,NULL,0,50,1,0,0,"2018-10-19 00:00:00","2018-10-20 09:21:57"
78,4,12,"Get Black Master Hardrock High Boots","Want to still look trendy, casual and not old-fashioned? do not worry! 
You can get Black Master Hardrock High Boots that make your appearance more attractive. 
Redeem your Vexpoint and get your Black Master Hardrock High Boots now!

Sepatu Boots membuat anda tetap tampil trendy, casual dan yang pasti tidak ketinggalan jaman.
ingin mendapatkan Boots Black Master Hardrock High Boots ini?? 
Tukarkan Vexpoint anda dan dapatkan Black Master Hardrock High Boots ini sekarang!","Want to still look trendy, casual and not old-fashioned? do not worry! 
You can get Black Master Hardrock High Boots that make your appearance more attractive. 
Redeem your Vexpoint and get your Black Master Hardrock High Boots now!

Sepatu Boots membuat anda tetap tampil trendy, casual dan yang pasti tidak ketinggalan jaman.
ingin mendapatkan Boots Black Master Hardrock High Boots ini?? 
Tukarkan Vexpoint anda dan dapatkan Black Master Hardrock High Boots ini sekarang!","1. Items cannot be converted to Rupiah or other.
2. For shipping costs will be borne by Vexgift.
3. Vexgift is not responsible for damage that occurs during the shipping process.
4. The prize delivery process will be arranged by Vexgift.
5. We are not responsible for the wrong address given.
6. Voucher can be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
7. VexGift can change the term and condition without further notice.
8. Vouchers valid until 20 November 2018.

1. Item tidak dapat dikonversi ke Rupiah atau lainnya.
2. Untuk biaya pengiriman akan ditanggung oleh Vexgift.
3. Vexgift tidak bertanggung jawab atas kerusakan yang terjadi selama proses pengiriman.
4. Proses pengiriman hadiah akan diatur oleh Vexgift.
5. Kami tidak bertanggung jawab atas kesalahan alamat yang diberikan.
6. Voucher dapat digunakan maksimal 24 jam setelah Anda mendapatkan kode voucher dengan mengklik ‘Redeem Voucher’
7. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
8. Voucher berlaku sampai 20 November 2018.",2,6,2,2,7700,NULL,http://cdn.vexgift.com/vouchers/banner/blackmaster_hardrock_high_boots.webp,NULL,1540022400,1542733199,All,NULL,NULL,NULL,0,1,1,0,1,"2018-10-20 00:00:00","2018-10-20 15:00:14"
79,2,1,"Get KFC Voucher For Super Besar 1","Curious about the crispiness of chicken fillet, rice, and a glass of Pepsi?  
By using VexGift you can get voucher that you can redeem with 1 Super Besar package
that you can use on every KFC restaurant in Indonesia. Get your voucher now!

Ingin tahu tentang kerenyahan ayam fillet, nasi, dan segelas Pepsi? Dengan menggunakan VexGift Anda bisa mendapatkan voucher yang dapat Anda tukarkan dengan 1 Paket Super Besar yang dapat Anda gunakan di setiap restoran KFC di Indonesia. Dapatkan voucher Anda sekarang!","Curious about the crispiness of chicken fillet, rice, and a glass of Pepsi?  
By using VexGift you can get voucher that you can redeem with 1 Super Besar package
that you can use on every KFC restaurant in Indonesia. Get your voucher now!

Ingin tahu tentang kerenyahan ayam fillet, nasi, dan segelas Pepsi? Dengan menggunakan VexGift Anda bisa mendapatkan voucher yang dapat Anda tukarkan dengan 1 Paket Super Besar yang dapat Anda gunakan di setiap restoran KFC di Indonesia. Dapatkan voucher Anda sekarang!","1. Voucher is only valid 15 days from the voucher release date.
2. Voucher can be used without minimum purchase.
3. Vouchers applies for dine-in and take away.
4. Voucher cannot be combined with others voucher.
5. Voucher cannot be converted to Rupiah or any other else.
6. Do not press "Redeem Voucher", this process will be done by outlet staff.
7. KFC Indonesia reserves the right to cancel any order both new and ongoing transaction if there is any violation of this promotion.
8. Any term and condition can change without any further notice from KFC Indonesia.
9. Vouchers are valid at all national stores and KFC Box, 
except ALL KFC in airports, store KFC Gunung Sahari Jakarta affiliates and Seibu Blok M Pasar Raya KFC.

1. Voucher hanya berlaku 15 hari dari tanggal rilis voucher.
2. Voucher dapat digunakan tanpa pembelian minimum.
3. Voucher berlaku untuk makan di dalam dan take away.
4. Voucher tidak dapat digabungkan dengan voucher lainnya.
5. Voucher tidak dapat dikonversi ke Rupiah atau lainnya
.6. Jangan tekan " Redeem Voucher ", proses ini akan dilakukan oleh staf outlet.
7. KFC Indonesia berhak membatalkan pesanan apa pun baik transaksi baru maupun yang sedang berlangsung jika ada pelanggaran terhadap promosi ini.
8. Setiap syarat dan ketentuan dapat berubah tanpa pemberitahuan lebih lanjut dari KFC Indonesia.
9. Voucher berlaku di seluruh store nasional dan KFC Box,terkecuali ALL KFC in bandara, store affiliasi KFC Gunung Sahari Jakarta, dan KFC Pasar Raya Seibu Blok M.",2,3,1,2,1150,NULL,http://cdn.vexgift.com/vouchers/banner/kfc_superbesar_1.webp,NULL,1540029600,1542733199,All,NULL,NULL,NULL,0,50,1,0,0,"2018-10-20 00:00:00","2018-10-25 23:45:49"
80,4,12,"Get HBC Cakil Helmet","Safety while driving is very important, but driving fashion is also important!
Cakil Helmet is perfect for you who like to drive while stylish.
Redeem your Vexpoint and get Cakil Helmet now!

Keamanan saat berkendara sangat penting, tapi fashion dalam berkendara juga penting!
Helm cakil sangat cocok untuk anda yang suka berkendara sambil bergaya.
Tukarkan Vexpoint anda dan dapatkan Helm Cakil ini sekarang!","Safety while driving is very important, but driving fashion is also important!
Cakil Helmet is perfect for you who like to drive while stylish.
Redeem your Vexpoint and get Cakil Helmet now!

Keamanan saat berkendara sangat penting, tapi fashion dalam berkendara juga penting!
Helm cakil sangat cocok untuk anda yang suka berkendara sambil bergaya.
Tukarkan Vexpoint anda dan dapatkan Helm Cakil ini sekarang!","1. Items cannot be converted to Rupiah or other.
2. For shipping costs will be borne by Vexgift.
3. Vexgift is not responsible for damage that occurs during the shipping process.
4. The prize delivery process will be arranged by Vexgift.
5. We are not responsible for the wrong address given.
6. Voucher can be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
7. VexGift can change the term and condition without further notice.
8. Vouchers valid until 21 November 2018.

1. Item tidak dapat dikonversi ke Rupiah atau lainnya.
2. Untuk biaya pengiriman akan ditanggung oleh Vexgift.
3. Vexgift tidak bertanggung jawab atas kerusakan yang terjadi selama proses pengiriman.
4. Proses pengiriman hadiah akan diatur oleh Vexgift.
5. Kami tidak bertanggung jawab atas kesalahan alamat yang diberikan.
6. Voucher dapat digunakan maksimal 24 jam setelah Anda mendapatkan kode voucher dengan mengklik ‘Redeem Voucher’
7. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
8. Voucher berlaku sampai 21 November 2018.",2,6,2,2,11000,NULL,http://cdn.vexgift.com/vouchers/banner/cakil_helmet.webp,NULL,1540116000,1542819599,All,NULL,NULL,NULL,0,1,1,0,1,"2018-10-21 00:00:00","2018-10-21 17:37:55"
81,9,12,"Get Logitech G300S Mouse","Playing games is more comfortable with Logitech G300S Mouse, you can get it on VexGift.
Redeem your VexPoints and Get Logitech G300S mouse now!

Bermain game lebih nyaman dengan mouse Logitech G300S, kamu bisa mendapatkannya di VexGift.
Tukarkan VexPoint mu dan dapatkan mouse Logitech G300S sekarang!","Playing games is more comfortable with Logitech G300S Mouse, you can get it on VexGift.
Redeem your VexPoints and Get Logitech G300S mouse now!

Bermain game lebih nyaman dengan mouse Logitech G300S, kamu bisa mendapatkannya di VexGift.
Tukarkan VexPoint mu dan dapatkan mouse Logitech G300S sekarang!","1. Items cannot be converted to Rupiah or other.
2. For shipping costs will be borne by Vexgift.
3. Vexgift is not responsible for damage that occurs during the shipping process.
4. The prize delivery process will be arranged by Vexgift.
5. We are not responsible for the wrong address given.
6. Voucher can be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
7. VexGift can change the term and condition without further notice.
8. Items will be processed 1 (one) week after you press "Redeem Voucher".

1. Item tidak dapat dikonversi ke Rupiah atau lainnya.
2. Untuk biaya pengiriman akan ditanggung oleh Vexgift.
3. Vexgift tidak bertanggung jawab atas kerusakan yang terjadi selama proses pengiriman.
4. Proses pengiriman hadiah akan diatur oleh Vexgift.
5. Kami tidak bertanggung jawab atas kesalahan alamat yang diberikan.
6. Voucher dapat digunakan maksimal 24 jam setelah Anda mendapatkan kode voucher dengan mengklik ‘Redeem Voucher’
7. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
8. Barang akan di proses 1 (satu) minggu setelah anda menekan "Redeem Voucher".",2,6,2,2,5060,NULL,http://cdn.vexgift.com/vouchers/banner/logitech_gaming_mouse_G300S.webp,NULL,1540202400,1542905999,All,NULL,NULL,NULL,0,1,1,0,1,"2018-10-22 00:00:00","2018-10-22 17:03:38"
82,8,18,"Get Gramedia Online Voucher Worth 100.000 IDR","It's easier to buy books only at Gramedia.com 
and get special discount voucher worth IDR 100.000 by redeem your VexPoint. 
Get your Voucher now!

Belanja buku lebih mudah hanya di Gramedia.com dan dapatkan voucher potongan harga senilai Rp 100.000 dengan menukarkan Vexpoint mu! Dapatkan vouchermu sekarang!","It's easier to buy books only at Gramedia.com 
and get special discount voucher worth IDR 100.000 by redeem your VexPoint. 
Get your Voucher now!

Belanja buku lebih mudah hanya di Gramedia.com dan dapatkan voucher potongan harga senilai Rp 100.000 dengan menukarkan Vexpoint mu! Dapatkan vouchermu sekarang!","1. Voucher is only valid 15 days from the voucher release date.
2. Vouchers can be used without minimum purchases.
3. Vouchers cannot be combined with other vouchers.
4. Vouchers cannot be converted to Rupiah or other.
5. Vouchers cannot be used for other promos.
6. Vouchers can only be used once.
7. Vouchers can only be used at Gramedia.com
8. VexGift can change terms and conditions without further notice.

1. Voucher hanya berlaku 15 hari dari tanggal rilis voucher.
2. Voucher dapat digunakan tanpa pembelian minimum.
3. Voucher tidak dapat digabungkan dengan voucher lainnya.
4. Voucher tidak dapat dikonversi ke Rupiah atau lainnya.
5. Voucher tidak dapat digunakan untuk promo lainnya.
6. Voucher hanya dapat digunakan satu kali.
7. Voucher hanya dapat digunakan di Gramedia.com
8. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.",2,3,2,2,2100,NULL,http://cdn.vexgift.com/vouchers/banner/gramedia100IDR.webp,NULL,1540288800,1542992399,All,NULL,NULL,NULL,0,10,1,0,1,"2018-10-23 00:00:00","2018-11-01 16:31:50"
83,10,16,"[FLASH DEAL] Get Alfamart voucher worth 10.000 IDR","Get Alfamart voucher worth 10.000 IDR to buy all of your daily needs!
By redeem your VexPoints in VexGift.
Get your voucher now!

Dapatkan voucher Alfamart senilai Rp 10.000 untuk membeli semua kebutuhan harian Anda!
Dengan menukarkan VexPoints Anda di VexGift.
Dapatkan voucher Anda sekarang!","Get Alfamart voucher worth 10.000 IDR to buy all of your daily needs!
By redeem your VexPoints in VexGift.
Get your voucher now!

Dapatkan voucher Alfamart senilai Rp 10.000 untuk membeli semua kebutuhan harian Anda!
Dengan menukarkan VexPoints Anda di VexGift.
Dapatkan voucher Anda sekarang!","1. Vouchers can be used without minimum purchases.
2. Vouchers cannot be combined with other voucher.
3. Voucher cannot be converted to Rupiah or any other else.
4. Vouchers cannot be used for other promos.
5. Vouchers can only be used once.
6. VexGift can change the term and condition without further notice.
7. The voucher is only valid until 23 November 2018.

1. Voucher dapat digunakan tanpa pembelian minimum.
2. Voucher tidak dapat digabungkan dengan voucher lainnya.
3. Voucher tidak dapat dikonversi ke Rupiah atau lainnya.
4. Voucher tidak dapat digunakan untuk promo lainnya.
5. Voucher hanya dapat digunakan satu kali.
6. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
7. Voucher hanya berlaku sampai tanggal 23 November 2018.",2,3,1,2,300,NULL,http://cdn.vexgift.com/vouchers/banner/alfamart_IDR10K_flash.webp,NULL,1540296000,1542992399,All,NULL,NULL,NULL,0,15,1,0,0,"2018-10-23 00:00:00","2018-10-23 19:16:49"
84,10,16,"[FLASH DEAL] Get Alfamart voucher worth 10.000 IDR","Get Alfamart voucher worth 10.000 IDR to buy all of your daily needs!
By redeem your VexPoints in VexGift.
Get your voucher now!

Dapatkan voucher Alfamart senilai Rp 10.000 untuk membeli semua kebutuhan harian Anda!
Dengan menukarkan VexPoints Anda di VexGift.
Dapatkan voucher Anda sekarang!","Get Alfamart voucher worth 10.000 IDR to buy all of your daily needs!
By redeem your VexPoints in VexGift.
Get your voucher now!

Dapatkan voucher Alfamart senilai Rp 10.000 untuk membeli semua kebutuhan harian Anda!
Dengan menukarkan VexPoints Anda di VexGift.
Dapatkan voucher Anda sekarang!","1. Vouchers can be used without minimum purchases.
2. Vouchers cannot be combined with other voucher.
3. Voucher cannot be converted to Rupiah or any other else.
4. Vouchers cannot be used for other promos.
5. Vouchers can only be used once.
6. VexGift can change the term and condition without further notice.
7. The voucher is only valid until 23 November 2018.

1. Voucher dapat digunakan tanpa pembelian minimum.
2. Voucher tidak dapat digabungkan dengan voucher lainnya.
3. Voucher tidak dapat dikonversi ke Rupiah atau lainnya.
4. Voucher tidak dapat digunakan untuk promo lainnya.
5. Voucher hanya dapat digunakan satu kali.
6. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
7. Voucher hanya berlaku sampai tanggal 23 November 2018.",2,3,2,2,180,NULL,http://cdn.vexgift.com/vouchers/banner/alfamart_IDR10K_flash.webp,NULL,1540296000,1542992399,All,NULL,NULL,NULL,10,30,1,0,0,"2018-10-23 00:00:00","2018-11-08 16:45:41"
